"name","link"
"Le Petit Chef - Jakarta","/Restaurant_Review-g294229-d21139260-Reviews-Le_Petit_Chef_Jakarta-Jakarta_Java.html"
"1. PASOLA Restaurant","/Restaurant_Review-g294229-d4163613-Reviews-PASOLA_Restaurant-Jakarta_Java.html"
"2. Al Jazeerah Signature","/Restaurant_Review-g294229-d12817027-Reviews-Al_Jazeerah_Signature-Jakarta_Java.html"
"3. PAL8","/Restaurant_Review-g294229-d17376898-Reviews-PAL8-Jakarta_Java.html"
"4. Kahyangan Restaurant","/Restaurant_Review-g294229-d1384743-Reviews-Kahyangan_Restaurant-Jakarta_Java.html"
"5. Signatures Restaurant","/Restaurant_Review-g294229-d1838942-Reviews-Signatures_Restaurant-Jakarta_Java.html"
"6. Bandar Djakarta Ancol","/Restaurant_Review-g294229-d782968-Reviews-Bandar_Djakarta_Ancol-Jakarta_Java.html"
"7. Sugar & Spice","/Restaurant_Review-g294229-d15232647-Reviews-Sugar_Spice-Jakarta_Java.html"
"8. OKU","/Restaurant_Review-g294229-d10154182-Reviews-OKU-Jakarta_Java.html"
"9. Al Nafoura Lebanese Restaurant","/Restaurant_Review-g294229-d862663-Reviews-Al_Nafoura_Lebanese_Restaurant-Jakarta_Java.html"
"10. Yoshi Izakaya","/Restaurant_Review-g294229-d4234206-Reviews-Yoshi_Izakaya-Jakarta_Java.html"
"11. Collage All Day Dining","/Restaurant_Review-g294229-d3404325-Reviews-Collage_All_Day_Dining-Jakarta_Java.html"
"12. Cafe Gran Via","/Restaurant_Review-g294229-d4233423-Reviews-Cafe_Gran_Via-Jakarta_Java.html"
"13. Li Feng","/Restaurant_Review-g294229-d10596199-Reviews-Li_Feng-Jakarta_Java.html"
"14. KALTURE Progressive Cafe & Resto","/Restaurant_Review-g294229-d13480851-Reviews-KALTURE_Progressive_Cafe_Resto-Jakarta_Java.html"
"15. Sana Sini Restaurant","/Restaurant_Review-g294229-d5995585-Reviews-Sana_Sini_Restaurant-Jakarta_Java.html"
"16. Hooters Jakarta","/Restaurant_Review-g294229-d12391023-Reviews-Hooters_Jakarta-Jakarta_Java.html"
"17. Paulaner Brauhaus","/Restaurant_Review-g294229-d1838508-Reviews-Paulaner_Brauhaus-Jakarta_Java.html"
"18. Teras Dharmawangsa","/Restaurant_Review-g294229-d12314850-Reviews-Teras_Dharmawangsa-Jakarta_Java.html"
"19. Namaaz Dining","/Restaurant_Review-g294229-d5111444-Reviews-Namaaz_Dining-Jakarta_Java.html"
"20. La Brasserie Restaurant","/Restaurant_Review-g294229-d1917326-Reviews-La_Brasserie_Restaurant-Jakarta_Java.html"
"21. Plataran Dharmawangsa","/Restaurant_Review-g294229-d7379491-Reviews-Plataran_Dharmawangsa-Jakarta_Java.html"
"22. Spectrum","/Restaurant_Review-g294229-d7812411-Reviews-Spectrum-Jakarta_Java.html"
"23. Pizzeria Cavalese","/Restaurant_Review-g294229-d8758351-Reviews-Pizzeria_Cavalese-Jakarta_Java.html"
"24. Cinnamon","/Restaurant_Review-g294229-d4266028-Reviews-Cinnamon-Jakarta_Java.html"
"25. Plataran Menteng","/Restaurant_Review-g294229-d12179632-Reviews-Plataran_Menteng-Jakarta_Java.html"
"26. Harmoni Square Coffee Shop","/Restaurant_Review-g294229-d21408694-Reviews-Harmoni_Square_Coffee_Shop-Jakarta_Java.html"
"27. Arts Cafe by Raffles","/Restaurant_Review-g294229-d7958021-Reviews-Arts_Cafe_by_Raffles-Jakarta_Java.html"
"28. Anigre","/Restaurant_Review-g294229-d10475534-Reviews-Anigre-Jakarta_Java.html"
"29. Henshin","/Restaurant_Review-g294229-d12211766-Reviews-Henshin-Jakarta_Java.html"
"30. Patio Venue & Dining","/Restaurant_Review-g294229-d8058833-Reviews-Patio_Venue_Dining-Jakarta_Java.html"
